abad	NCM	3
abadía	NCF	3
abajo	RG	1
abandonar	VM	2
abandono	NCM	2
abanicar	VM	3
abanico	NCM	2
abaratar	VM	3
abarcar	VM	3
abarrotar	VM	3
abasto	NCM	3
abastos	NCM	3
abatir	VM	3
abdicar	VM	3
abdomen	NCM	1
abdominal	AQ0	1
abducir	VM	3
abeja	NCF	1
aberrante	AQ0	4
abertura	NCF	2
abeto	NCM	3
abierto	AQ0	1
abismo	NCM	3
ablandador	NCM	3
ablandar	VM	3
abnegación	NCF	3
abocar	VM	3
abogado	NCF	2
abogado	NCM	2
abogar	VM	3
abolición	NCF	3
abolir	VM	3
abonar	VM	2
abono	NCM	1
abordar	VM	1
aborigen	NCC	3
aborrecer	VM	3
aborto	NCM	2
abrasar	VM	2
abrazar	VM	1
abrazo	NCM	1
abrebotellas	NCM	3
abreviación	NCF	2
abreviar	VM	2
abreviatura	NCF	2
abridor	NCM	2
abrigo	NCM	1
abrir	VM	0
abro	NCM	1
abrochar	VM	2
abrumar	VM	3
absentismo	NCM	4
absolutista	AQ0	3
absoluto	AQ0	1
absolver	VM	3
absorbente	AQ0	2
absorber	VM	3
absorción	NCF	3
abstemio	AQ0	4
abstención	NCF	3
abstracción	NCF	4
abstracto	AQ0	3
absurdo	AQ0	1
absurdo	NCM	1
abuela	NCF	0
abuelo	NCM	1
abuelo	NCF	0
abultar	VM	3
abundancia	NCF	3
abundante	AQ0	1
abundar	VM	2
aburrar	VM	4
aburrimiento	NCM	3
aburrir	VM	2
abusar	VM	2
abuso	NCM	2
acabado	NCM	2
acabar	VM	1
academia	NCF	1
academicismo	NCM	4
académico	AQ0	1
académico	NCM	2
acaecer	VM	3
acallar	VM	3
acampada	NCF	1
acampar	VM	1
acant	NP0	4
acantilado	NCM	3
acanto	NCM	4
acaparar	VM	4
acariciar	VM	4
acarrear	VM	3
acaso	RG	3
acceder	VM	2
accesibilidad	NCF	4
accesible	AQ0	1
acceso	NCM	1
accesorio	NCM	2
accidentado	NCM	3
accidentar	VM	3
accidente	NCM	1
accionar	VM	3
accionista	NCC	3
acción	NCF	1
ace	NCM	3
aceite	NCM	1
aceituna	NCF	2
aceitunero	NCM	4
aceituno	AQ0	4
acelerar	VM	3
acelga	NCF	3
acento	AQ0	0
acento	NCM	1
acentuar	VM	2
aceptable	AQ0	1
aceptación	NCF	1
aceptar	VM	0
acepto	AQ0	1
acera	NCF	1
acercamiento	NCM	3
acercar	VM	2
acero	NCM	2
acertar	VM	3
acetato	NCM	3
achacable	AQ0	4
achacar	VM	4
acierto	NCM	2
aclaración	NCF	3
aclarar	VM	1
aclimatación	NCF	3
aclimatar	VM	2
acné	NCM	1
acogedor	AQ0	2
acoger	VM	3
acogida	NCF	3
acomodar	VM	1
acompañamiento	NCM	3
acompañante	NCC	2
acompañar	VM	1
acomplejar	VM	3
acondicionamiento	NCM	4
acondicionar	VM	3
aconsejable	AQ0	3
aconsejar	VM	2
acontecer	VM	3
acontecimiento	NCM	3
acopiar	VM	4
acoplar	VM	3
acorazado	NCM	3
acordar	VM	2
acorde	NCM	3
acorde	AQ0	2
acordeón	NCM	1
acortamiento	NCM	3
acortar	VM	2
acosar	VM	3
acoso	NCM	3
acostar	VM	2
acostumbrar	VM	2
acreditación	NCF	3
acreditar	VM	3
acrónimo	NCM	3
acta	NCF	3
actitud	NCF	1
activar	VM	2
actividad	NCF	0
activista	NCC	2
activo	AQ0	1
activo	NCM	1
acto	NCM	0
actor	NCM	0
actriz	NCF	1
actuación	NCF	2
actual	AQ0	1
actualidad	NCF	2
actualización	NCF	3
actualizar	VM	3
actuar	VM	1
acuarela	NCF	3
acuario	NCM	1
acuarium	NCM	4
acuartelamiento	NCM	4
acuchillar	VM	3
acudir	VM	2
acueducto	NCM	3
acuerdo	NCM	1
acumulación	NCF	3
acumular	VM	2
acupuntor	NCF	3
acupuntor	NCM	4
acupuntura	NCF	2
acurrucar	VM	3
acusación	NCF	2
acusado	NCM	2
acusar	VM	2
acuático	AQ0	2
acuñar	VM	3
acá	RG	0
acústico	AQ0	3
adaptable	AQ0	1
adaptación	NCF	2
adaptar	VM	1
adaptativo	AQ0	3
addición	NCF	2
adecentar	VM	3
adecuación	NCF	3
adecuado	AQ0	2
adecuar	VM	2
adefesio	NCM	4
adelantado	NCM	3
adelantamiento	NCM	3
adelantar	VM	2
adelante	RG	2
adelgazamiento	NCM	4
adelgazante	AQ0	3
adelgazar	VM	2
además	RG	1
adentrar	VM	3
adentro	RG	2
adepto	AQ0	3
aderezar	VM	3
adherente	AQ0	4
adherir	VM	3
adhesión	NCF	3
adicción	NCF	2
adicional	AQ0	2
adicto	NCM	2
adicto	NCF	1
adicto	AQ0	1
adiestrar	VM	3
adinerar	VM	3
adiposo	AQ0	4
adir	VM	3
adivinar	VM	2
adiós	NCM	0
adjetivo	AQ0	1
adjetivo	NCM	2
adjudicación	NCF	4
adjudicar	VM	3
adjuntar	VM	2
adjunto	AQ0	1
adjunto	NCM	3
administración	NCF	2
administrador	NCM	2
administrar	VM	3
administrativo	AQ0	3
admirable	AQ0	1
admiración	NCF	2
admirador	NCM	2
admirador	NCF	1
admirador	AQ0	2
admirar	VM	2
admirativo	AQ0	4
admisión	NCF	1
admitir	VM	2
adn	NCM	3
adobar	VM	2
adobe	NCM	2
adolescencia	NCF	3
adolescente	AQ0	1
adolescente	NCC	2
adopción	NCF	1
adoptar	VM	2
adoptivo	AQ0	1
adoquinar	VM	4
adoquín	NCM	3
adorar	VM	1
adornar	VM	2
adorno	NCM	2
adosar	VM	3
adquirir	VM	3
adquisición	NCF	3
adquisitivo	AQ0	3
adrede	RG	3
adrenalina	NCF	3
adscribir	VM	4
adsl	NCM	0
aduana	NCF	3
aduanero	AQ0	3
adueñar	VM	3
adulador	AQ0	3
adular	VM	3
adulto	NCF	1
adulto	AQ0	0
adulto	NCM	1
adverbio	NCM	1
adverso	AQ0	3
advertencia	NCF	2
advertir	VM	3
adyacente	AQ0	4
aec	NP0	4
aerolínea	NCF	2
aeronave	NCF	4
aeronáutico	AQ0	3
aeropuerto	NCM	1
aerosol	NCM	0
aeróbic	NCM	1
aeróbico	AQ0	3
afanar	VM	2
afectado	NCM	3
afectar	VM	1
afectivo	AQ0	2
afecto	NCM	1
afectuoso	AQ0	2
afeitado	NCM	1
afeitar	VM	2
aferrar	VM	3
afianzar	VM	3
aficionado	NCM	2
aficionar	VM	3
afición	NCF	2
afiebrar	VM	4
afilador	AQ0	3
afilar	VM	3
afiliación	NCF	3
afiliar	VM	3
afinar	VM	2
afincar	VM	4
afirmación	NCF	3
afirmar	VM	3
afirmativo	AQ0	2
aflorar	VM	3
afluencia	NCF	3
aforo	NCM	3
afortunado	AQ0	1
afrentar	VM	4
africano	NCF	1
africano	AQ0	1
africano	NCM	1
afroamericano	NCM	2
afroamericano	AQ0	1
afrocubano	AQ0	2
afrodisíaco	NCM	4
afrodisíaco	AQ0	4
afrontar	VM	2
afuera	RG	1
afuera	NCF	1
afueras	NCF	1
afán	NCM	3
afín	AQ0	2
agachar	VM	3
agarrar	VM	2
agencia	NCF	2
agenda	NCF	1
agente	NCC	1
agente	NCM	2
agigantar	VM	3
agilidad	NCF	2
agitación	NCF	3
agitar	VM	2
aglomeración	NCF	4
aglomerar	VM	3
agobiante	AQ0	4
agobiar	VM	3
agobio	NCM	3
agonizar	VM	3
agora	NCF	4
agorero	NCM	4
agotamiento	NCM	3
agotar	VM	3
agradable	AQ0	1
agradar	VM	3
agradecer	VM	2
agradecimiento	NCM	2
agrado	NCM	3
agrandar	VM	2
agrario	AQ0	3
agravante	NCC	3
agravar	VM	2
agredir	VM	3
agregar	VM	2
agresividad	NCF	3
agresivo	AQ0	1
agresión	NCF	2
agresor	NCM	2
agresor	NCF	3
agresor	AQ0	1
agricultor	NCM	2
agricultora	NCF	2
agricultura	NCF	1
agridulce	AQ0	2
agrio	AQ0	2
agronomía	NCF	3
agroturístico	AQ0	3
agrupación	NCF	3
agrupar	VM	2
agrícola	AQ0	3
agrónomo	AQ0	3
agua	NCC	0
agua	NCF	0
aguacate	NCM	1
aguacero	NCM	2
aguafiestas	NCC	3
aguantar	VM	3
aguante	NCM	3
aguardar	VM	3
aguardiente	NCM	3
aguascalientes	NP0	3
agudo	AQ0	1
aguijón	NCM	4
aguileño	AQ0	4
aguja	NCF	2
agujero	NCM	3
agujeta	NCF	3
agujetas	NCF	3
ahogado	NCM	2
ahogar	VM	2
ahondar	VM	2
ahora	RG	1
ahorita	RG	3
ahorrar	VM	3
ahorro	NCM	3
ahuehuete	NCM	4
ahumado	NCM	2
ahumar	VM	3
ahuyentar	VM	3
ahí	RG	1
ahínco	NCM	4
aikido	NCM	1
aimara	NCM	4
airbag	NCM	2
aire	NCM	0
airear	VM	3
airoso	AQ0	4
aislamiento	NCM	3
aislante	AQ0	3
aislar	VM	2
ajedrecista	NCC	3
ajedrez	NCF	1
ajedrez	NCM	2
ajeno	AQ0	3
ajetreo	NCM	4
ajillo	NCM	3
ajo	NCM	1
ajoblanco	NP0	3
ajustable	AQ0	1
ajustar	VM	2
ajuste	NCM	3
ají	NCM	1
ala	NCF	1
alabanza	NCF	3
alabar	VM	2
alacrán	NCM	3
alambre	NCM	3
alano	NCM	4
alardear	VM	4
alargar	VM	2
alarma	NCF	1
alarmante	AQ0	3
alarmar	VM	2
alba	NCF	2
albaceteño	AQ0	3
albar	AQ0	4
albariño	NCM	4
albatros	NCM	3
