abad	NCM	1
abadía	NCF	2
abajo	RG	1
abandonar	VM	2
abandono	NCM	2
abanicar	VM	1
abanico	NCM	1
abaratar	VM	2
abarcar	VM	2
abarrotar	VM	2
abasto	NCM	2
abastos	NCM	1
abatir	VM	2
abdicar	VM	2
abdomen	NCM	2
abdominal	AQ0	AQ
abducir	VM	3
abeja	NCF	1
aberrante	AQ0	2
abertura	NCF	2
abeto	NCM	1
abierto	AQ0	AQ
abismo	NCM	2
ablandador	NCM	2
ablandar	VM	2
abnegación	NCF	2
abocar	VM	2
abogado	NCF	1
abogado	NCM	1
abogar	VM	2
abolición	NCF	2
abolir	VM	2
abonar	VM	2
abono	NCM	2
abordar	VM	2
aborigen	NCC	2
aborrecer	VM	2
aborto	NCM	2
abrasar	VM	2
abrazar	VM	1
abrazo	NCM	1
abrebotellas	NCM	1
abreviación	NCF	2
abreviar	VM	2
abreviatura	NCF	2
abridor	NCM	2
abrigo	NCM	1
abrir	VM	1
abro	NCM	1
abrochar	VM	2
abrumar	VM	2
absentismo	NCM	2
absolutista	AQ0	1
absoluto	AQ0	1
absolver	VM	2
absorbente	AQ0	1
absorber	VM	2
absorción	NCF	2
abstemio	AQ0	1
abstención	NCF	3
abstracción	NCF	2
abstracto	AQ0	1
absurdo	AQ0	1
absurdo	NCM	2
abuela	NCF	1
abuelo	NCM	1
abuelo	NCF	1
abultar	VM	2
abundancia	NCF	2
abundante	AQ0	AQ
abundar	VM	2
aburrar	VM	1
aburrimiento	NCM	2
aburrir	VM	2
abusar	VM	2
abuso	NCM	2
acabado	NCM	1
acabar	VM	1
academia	NCF	2
academicismo	NCM	3
académico	AQ0	AQ
académico	NCM	1
acaecer	VM	2
acallar	VM	2
acampada	NCF	2
acampar	VM	1
acant	NP0	2
acantilado	NCM	2
acanto	NCM	2
acaparar	VM	2
acariciar	VM	1
acarrear	VM	2
acaso	RG	2
acceder	VM	2
accesibilidad	NCF	2
accesible	AQ0	AQ
acceso	NCM	1
accesorio	NCM	1
accidentado	NCM	2
accidentar	VM	2
accidente	NCM	2
accionar	VM	2
accionista	NCC	2
acción	NCF	1
ace	NCM	1
aceite	NCM	1
aceituna	NCF	1
aceitunero	NCM	2
aceituno	AQ0	AQ
acelerar	VM	2
acelga	NCF	2
acento	AQ0	AQ
acento	NCM	1
acentuar	VM	2
aceptable	AQ0	1
aceptación	NCF	2
aceptar	VM	1
acepto	AQ0	Acept
acera	NCF	1
acercamiento	NCM	2
acercar	VM	1
acero	NCM	2
acertar	VM	1
acetato	NCM	2
achacable	AQ0	AQ
achacar	VM	2
acierto	NCM	1
aclaración	NCF	2
aclarar	VM	1
aclimatación	NCF	2
aclimatar	VM	2
acné	NCM	2
acogedor	AQ0	A1
acoger	VM	2
acogida	NCF	2
acomodar	VM	2
acompañamiento	NCM	2
acompañante	NCC	2
acompañar	VM	2
acomplejar	VM	3
acondicionamiento	NCM	3
acondicionar	VM	2
aconsejable	AQ0	AQ
aconsejar	VM	2
acontecer	VM	2
acontecimiento	NCM	2
acopiar	VM	2
acoplar	VM	2
acorazado	NCM	2
acordar	VM	1
acorde	NCM	1
acorde	AQ0	AQ
acordeón	NCM	2
acortamiento	NCM	2
acortar	VM	1
acosar	VM	2
acoso	NCM	2
acostar	VM	1
acostumbrar	VM	2
acreditación	NCF	3
