aai	N(soort)	2
aaien	WW()	1
aanbedene	N(soort)	4
aanbellen	WW()	1
aanbetaling	N(soort)	3
aanbevelen	WW()	2
aanbeveling	N(soort)	3
aanbidden	WW()	3
aanbidder	N(soort)	3
aanbieden	WW()	3
aanbieding	N(soort)	1
aanblazen	WW()	3
aanbod	N(soort)	1
aanboord	WW()	2
aanbranden	WW()	3
aanbreken	WW()	3
aanbrengen	WW()	3
aandacht	N(soort)	1
aandachtig	ADJ()	3
aandachtiger	N(soort)	3
aandachtspunt	N(soort)	3
aandeel	N(soort)	2
aandeelhouder	N(soort)	3
aandeelhoudersstructuur	N(soort)	4
aandenken	N(soort)	2
aandoen	WW()	1
aandoening	N(soort)	3
aandringen	N(soort)	3
aandringen	WW()	3
aanduiden	WW()	3
aandurven	WW()	3
aangaan	WW()	3
aangebeten	WW()	3
aangeklaagde	N(soort)	3
aangekleed	ADJ()	2
aangelegenheid	N(soort)	4
aangenaam	ADJ()	2
aangetekend	ADJ()	3
aangeven	WW()	2
aangifte	N(soort)	3
aangrijpen	WW()	4
aanhalingsteken	N(soort)	3
aanhang	N(soort)	2
aanhanger	N(soort)	2
aanhangwagen	N(soort)	3
aanhouden	WW()	3
aanhouder	N(soort)	3
aanjagen	WW()	3
aankijken	WW()	2
aanklacht	N(soort)	3
aanklagen	WW()	3
aanklager	N(soort)	3
aankleden	WW()	1
aankloppen	WW()	2
aankomen	WW()	1
aankomend	ADJ()	3
aankomst	N(soort)	2
aankomsthal	N(soort)	2
aankondigen	WW()	3
aankondiging	N(soort)	3
aankoop	N(soort)	1
aankopen	WW()	2
aankunnen	WW()	3
aanleg	N(soort)	3
aanleggen	WW()	3
aanleiding	N(soort)	3
aanleren	WW()	2
aanleveren	WW()	3
aanlokkelijk	ADJ()	3
aanloop	N(soort)	1
aanlopen	WW()	2
aanmaken	WW()	1
aanmaning	N(soort)	3
aanmelden	WW()	2
aanmelding	N(soort)	3
aanmeldingsformulier	N(soort)	4
aanmerking	N(soort)	3
aanmeten	WW()	3
aanmoedigen	WW()	3
aannemen	WW()	2
aanpak	N(soort)	2
aanpakken	WW()	2
aanpassen	WW()	2
aanraden	WW()	3
aanraken	WW()	2
aanraking	N(soort)	2
aanreiken	WW()	3
aanrennen	WW()	3
aanrijden	WW()	3
aanroepen	WW()	3
aanschaffen	WW()	3
aanschafkosten	N(soort)	4
aanscherpen	WW()	3
