aai	N(soort)	B1
aaien	WW()	A1
aanbedene	N(soort)	A1
aanbellen	WW()	A1
aanbetaling	N(soort)	A1
aanbevelen	WW()	A2
aanbeveling	N(soort)	A2
aanbidden	WW()	A2
aanbidder	N(soort)	B1
aanbieden	WW()	A1
aanbieding	N(soort)	A1
aanblazen	WW()	A1
aanbod	N(soort)	A1
aanboord	WW()	B1
aanbranden	WW()	A1
aanbreken	WW()	A1
aanbrengen	WW()	B1
aandacht	N(soort)	A1
aandachtig	ADJ()	B1
aandachtiger	N(soort)	A2
aandachtspunt	N(soort)	B1
aandeel	N(soort)	A2
aandeelhouder	N(soort)	B1
aandeelhoudersstructuur	N(soort)	B2
aandenken	N(soort)	A2
aandoen	WW()	B1
aandoening	N(soort)	A2
aandringen	N(soort)	A2
aandringen	WW()	A1
aanduiden	WW()	B1
aandurven	WW()	A1
aangaan	WW()	B1
aangebeten	WW()	B1
aangeklaagde	N(soort)	B1
aangekleed	ADJ()	A2
aangelegenheid	N(soort)	A2
aangenaam	ADJ()	A2
aangetekend	ADJ()	B1
aangeven	WW()	A2
aangifte	N(soort)	A1
aangrijpen	WW()	A1
aanhalingsteken	N(soort)	A1
aanhang	N(soort)	A1
aanhanger	N(soort)	A1
aanhangwagen	N(soort)	A1
aanhouden	WW()	A2
aanhouder	N(soort)	A1
aanjagen	WW()	B1
aankijken	WW()	A2
aanklacht	N(soort)	B1
aanklagen	WW()	B1
aanklager	N(soort)	B1
aankleden	WW()	A1
aankloppen	WW()	A1
aankomen	WW()	A1
aankomend	ADJ()	A2
aankomst	N(soort)	A1
aankomsthal	N(soort)	A1
aankondigen	WW()	A2
aankondiging	N(soort)	A1
aankoop	N(soort)	A1
aankopen	WW()	A1
aankunnen	WW()	A2
aanleg	N(soort)	A1
aanleggen	WW()	A1
aanleiding	N(soort)	A1
aanleren	WW()	B1
aanleveren	WW()	A1
aanlokkelijk	ADJ()	A2
aanloop	N(soort)	A1
aanlopen	WW()	A1
aanmaken	WW()	A1
aanmaning	N(soort)	B1
aanmelden	WW()	A1
aanmelding	N(soort)	A1
aanmeldingsformulier	N(soort)	A2
aanmerking	N(soort)	B1
aanmeten	WW()	A2
aanmoedigen	WW()	B1
aannemen	WW()	A2
aanpak	N(soort)	A1
aanpakken	WW()	A2
aanpassen	WW()	A2
aanraden	WW()	A2
aanraken	WW()	A1
aanraking	N(soort)	A1
aanreiken	WW()	A1
aanrennen	WW()	A2
aanrijden	WW()	A1
aanroepen	WW()	A1
aanschaffen	WW()	B1
aanschafkosten	N(soort)	B1
aanscherpen	WW()	B1
aanschuiven	WW()	A2
aanslag	N(soort)	A2
aansluiten	WW()	A1
aansluiting	N(soort)	A1
aansluitingenadministratie	N(soort)	B2
aansporen	WW()	A2
aanspraak	N(soort)	B1
aansprakelijk	ADJ()	B1
aansprakelijkheid	N(soort)	B2
aanspreekpunt	N(soort)	B1
aanspreekvorm	N(soort)	B1
aanspreken	WW()	A2
aanstaand	ADJ()	A2
aanstaande	ADJ()	B1
aansteken	WW()	A1
aanstellen	WW()	B1
aanstelster	N(soort)	A1
aantal	N(soort)	A1
aantasten	WW()	B1
aantasting	N(soort)	B1
aantekening	N(soort)	A2
aantonen	WW()	B1
aantreffen	WW()	A1
aantrekkelijk	ADJ()	B1
aantrekkelijker	N(soort)	B1
aantrekken	WW()	B1
aantrekkingskracht	N(soort)	B1
aantrippelen	WW()	B2
aanvaardbaar	ADJ()	B1
aanvaarden	WW()	A1
aanvaardendat	N(soort)	A2
aanvaarding	N(soort)	A1
aanval	N(soort)	A1
aanvallen	WW()	A1
aanvang	N(soort)	A1
aanvangen	WW()	A1
aanvangstijd	N(soort)	A1
aanvankelijk	ADJ()	A1
aanverwant	ADJ()	B1
aanvoelen	WW()	A2
aanvoer	N(soort)	A1
aanvoerder	N(soort)	A1
aanvoeren	WW()	A1
aanvraag	N(soort)	A1
aanvragen	WW()	A1
aanvullen	WW()	A1
aanvulling	N(soort)	A1
aanwakkeren	WW()	A1
aanwenden	WW()	B1
aanwerven	WW()	A2
aanwerving	N(soort)	B1
aanwezig	ADJ()	A1
aanwezigheid	N(soort)	A1
aanwijzen	WW()	A1
aanwijzing	N(soort)	A1
aanwinst	N(soort)	A2
aanzetten	WW()	B1
aanzien	N(soort)	A1
aanzien	WW()	A2
aanzienlijk	ADJ()	B1
aanzoek	N(soort)	A1
aanzweven	WW()	B1
aap	N(soort)	A1
aard	N(soort)	A1
aardappel	N(soort)	A1
aardappelproductie	N(soort)	A1
aardbei	N(soort)	A1
aardbeving	N(soort)	A1
aardbol	N(soort)	A2
aarde	N(soort)	A1
aardedonker	N(soort)	A2
aardewerk	N(soort)	A1
aardewerkindustrie	N(soort)	B1
aardgas	N(soort)	A1
aardig	ADJ()	A1
aardolie	N(soort)	A2
aardrijkskunde	N(soort)	A1
aardverschuiving	N(soort)	B1
aarzelen	WW()	A2
abelman	N(soort)	B2
abonnement	N(soort)	A1
abortus	N(soort)	A1
absoluut	ADJ()	B1
abstract	ADJ()	A2
absurd	ADJ()	A2
academicus	N(soort)	B1
academie	N(soort)	A1
academiejaar	N(soort)	A2
academisch	ADJ()	B1
accent	N(soort)	A2
accentueren	WW()	A2
acceptabel	ADJ()	A2
accepteren	WW()	A1
accessoire	N(soort)	A1
accijns	N(soort)	B1
acclimatiseren	WW()	B1
accolade	N(soort)	B2
accordeon	N(soort)	A1
account	N(soort)	A2
accountant	N(soort)	B1
acht	N(soort)	A1
achten	WW()	A2
achter	ADJ()	A1
achteraan	BW()	B2
achteraf	BW()	B1
achterbak	N(soort)	A1
achterbank	N(soort)	A2
achterbeen	N(soort)	A1
achterblijven	WW()	A2
achterbuurt	N(soort)	A1
achterdeur	N(soort)	A1
achtereen	BW()	B1
achtereenvolgens	BW()	B2
achteren	BW()	B2
achtergrond	N(soort)	A1
achterhalen	WW()	A2
achterin	BW()	B1
achterkamer	N(soort)	A2
achterkant	N(soort)	A1
achterlaten	WW()	A2
achterliggen	WW()	A2
achterligger	N(soort)	A1
achterlijk	ADJ()	B1
achterlopen	WW()	A1
achterna	BW()	B2
achternaam	N(soort)	A1
achterom	BW()	B2
achterop	BW()	B1
achteropraken	N(soort)	B1
achterover	BW()	B1
achterstal	N(soort)	A1
achterstallig	ADJ()	A2
achterstand	N(soort)	A1
achterstellen	WW()	A1
achterstevoren	BW()	B1
achtertuin	N(soort)	A1
achteruit	BW()	B2
achteruitdeinzen	WW()	A2
achteruitgang	N(soort)	B2
achteruitkijkspiegel	N(soort)	B2
achtervang	N(soort)	A2
achtervolgen	WW()	A2
achtervolging	N(soort)	A2
achterwege	BW()	B1
achterzitten	WW()	A1
achtsteklasser	N(soort)	B1
acne	N(soort)	A1
acrobaat	N(soort)	A1
act	N(soort)	A1
acteren	WW()	A2
acteur	N(soort)	A1
actie	N(soort)	A1
actief	ADJ()	A1
actiefilm	N(soort)	A1
actiefst	N(soort)	B1
actiegame	N(soort)	A1
actieplan	N(soort)	A2
actieveling	N(soort)	A1
actievoerder	N(soort)	A2
actieweekend	N(soort)	B1
activatie	N(soort)	A1
activeren	WW()	A1
activiteit	N(soort)	A1
activiteitenkalender	N(soort)	A1
actrice	N(soort)	A2
actualiteit	N(soort)	A2
actueel	ADJ()	A1
acuut	ADJ()	A2
acuut	BW()	B2
adel	N(soort)	A2
adellijk	ADJ()	B1
adem	N(soort)	A1
ademen	WW()	A1
ademhalen	WW()	A1
ademhaling	N(soort)	A1
ademloos	ADJ()	A1
adequaat	ADJ()	B1
ader	N(soort)	A1
aderlating	N(soort)	A2
adjectief	N(soort)	A1
administratie	N(soort)	A1
administratief	ADJ()	A1
admiraal	N(soort)	A1
adolescent	N(soort)	A1
adolescentie	N(soort)	A2
adonis	N(soort)	B2
adoreren	WW()	A1
adres	N(soort)	A1
adresbewijs	ADJ()	B1
adreskaart	N(soort)	A1
adreslegitimatie	N(soort)	B1
adreswijziging	N(soort)	A1
adverteerder	N(soort)	B2
advertentie	N(soort)	A1
advertentiebudget	ADJ()	B1
advies	N(soort)	A1
adviesbureau	N(soort)	A2
adviseren	WW()	A1
adviseur	N(soort)	B1
advocaat	N(soort)	A1
advocatenechtpaar	N(soort)	A2
advocatenkantoor	N(soort)	B1
afbakenen	WW()	B1
afbeelden	WW()	A1
afbeelding	N(soort)	A1
afbetalen	WW()	A1
afbetaling	N(soort)	A2
afbijten	WW()	A1
afblazen	WW()	B1
afblijven	WW()	A1
afbreken	WW()	A1
afdak	N(soort)	A2
afdeling	N(soort)	A1
afdoen	WW()	A1
afdrogen	WW()	A1
afdruk	N(soort)	A1
afdrukken	WW()	A1
afdwalen	WW()	A1
afdwingen	WW()	B1
affaire	N(soort)	A1
affectie	N(soort)	A1
affiche	N(soort)	A2
afgebeten	ADJ()	A2
afgebrand	ADJ()	A1
afgelasten	WW()	B1
afgelegen	ADJ()	A1
afgelopen	ADJ()	A2
afgeven	WW()	A1
afgezaagd	ADJ()	B1
afglijden	WW()	A1
afgod	N(soort)	A1
afgooien	WW()	A1
afgrijselijk	ADJ()	B1
afgrond	N(soort)	B1
afgunst	N(soort)	A1
afgunstig	ADJ()	B1
afhaalchinees	N(soort)	A1
afhaalmaaltijd	N(soort)	A2
afhaken	WW()	A1
afhakken	WW()	A1
afhalen	WW()	A1
afhandelen	WW()	B1
