aai	N(soort)	2
aaien	WW()	2
aanbedene	N(soort)	3
aanbellen	WW()	1
aanbetaling	N(soort)	2
aanbevelen	WW()	2
aanbeveling	N(soort)	2
aanbidden	WW()	2
aanbidder	N(soort)	3
aanbieden	WW()	2
aanbieding	N(soort)	2
aanblazen	WW()	2
aanbod	N(soort)	1
aanboord	WW()	2
aanbranden	WW()	3
aanbreken	WW()	2
aanbrengen	WW()	2
aandacht	N(soort)	1
aandachtig	ADJ()	1
aandachtiger	N(soort)	2
aandachtspunt	N(soort)	2
aandeel	N(soort)	2
aandeelhouder	N(soort)	3
aandeelhoudersstructuur	N(soort)	3
aandenken	N(soort)	1
aandoen	WW()	2
aandoening	N(soort)	2
aandringen	N(soort)	2
aandringen	WW()	2
aanduiden	WW()	2
aandurven	WW()	3
aangaan	WW()	2
aangebeten	WW()	2
aangeklaagde	N(soort)	2
aangekleed	ADJ()	2
aangelegenheid	N(soort)	2
aangenaam	ADJ()	1
aangetekend	ADJ()	2
aangeven	WW()	1
aangifte	N(soort)	2
aangrijpen	WW()	2
aanhalingsteken	N(soort)	2
aanhang	N(soort)	2
aanhanger	N(soort)	2
aanhangwagen	N(soort)	2
aanhouden	WW()	2
aanhouder	N(soort)	2
aanjagen	WW()	2
aankijken	WW()	2
aanklacht	N(soort)	3
aanklagen	WW()	2
aanklager	N(soort)	2
aankleden	WW()	2
aankloppen	WW()	2
aankomen	WW()	2
aankomend	ADJ()	1
aankomst	N(soort)	1
aankomsthal	N(soort)	3
aankondigen	WW()	2
aankondiging	N(soort)	2
aankoop	N(soort)	1
aankopen	WW()	2
aankunnen	WW()	2
aanleg	N(soort)	1
aanleggen	WW()	2
aanleiding	N(soort)	2
aanleren	WW()	2
aanleveren	WW()	2
aanlokkelijk	ADJ()	2
aanloop	N(soort)	2
aanlopen	WW()	2
aanmaken	WW()	2
aanmaning	N(soort)	2
aanmelden	WW()	2
aanmelding	N(soort)	2
aanmeldingsformulier	N(soort)	2
aanmerking	N(soort)	1
aanmeten	WW()	2
aanmoedigen	WW()	2
aannemen	WW()	2
aanpak	N(soort)	1
aanpakken	WW()	2
aanpassen	WW()	2
aanraden	WW()	2
aanraken	WW()	2
aanraking	N(soort)	3
aanreiken	WW()	2
aanrennen	WW()	2
aanrijden	WW()	2
aanroepen	WW()	2
aanschaffen	WW()	2
aanschafkosten	N(soort)	2
aanscherpen	WW()	2
aanschuiven	WW()	2
aanslag	N(soort)	2
aansluiten	WW()	2
aansluiting	N(soort)	2
aansluitingenadministratie	N(soort)	3
aansporen	WW()	2
aanspraak	N(soort)	2
aansprakelijk	ADJ()	2
aansprakelijkheid	N(soort)	2
aanspreekpunt	N(soort)	2
aanspreekvorm	N(soort)	2
aanspreken	WW()	2
aanstaand	ADJ()	2
aanstaande	ADJ()	1
aansteken	WW()	2
aanstellen	WW()	2
aanstelster	N(soort)	2
aantal	N(soort)	1
aantasten	WW()	2
aantasting	N(soort)	3
aantekening	N(soort)	2
aantonen	WW()	2
aantreffen	WW()	2
aantrekkelijk	ADJ()	1
aantrekkelijker	N(soort)	2
aantrekken	WW()	2
aantrekkingskracht	N(soort)	3
aantrippelen	WW()	2
aanvaardbaar	ADJ()	2
aanvaarden	WW()	2
aanvaardendat	N(soort)	3
aanvaarding	N(soort)	2
aanval	N(soort)	2
aanvallen	WW()	2
aanvang	N(soort)	1
aanvangen	WW()	1
aanvangstijd	N(soort)	2
aanvankelijk	ADJ()	1
aanverwant	ADJ()	3
aanvoelen	WW()	2
aanvoer	N(soort)	2
aanvoerder	N(soort)	2
aanvoeren	WW()	2
aanvraag	N(soort)	1
aanvragen	WW()	2
aanvullen	WW()	2
aanvulling	N(soort)	1
aanwakkeren	WW()	2
aanwenden	WW()	2
aanwerven	WW()	2
aanwerving	N(soort)	3
aanwezig	ADJ()	2
aanwezigheid	N(soort)	3
aanwijzen	WW()	WW
aanwijzing	N(soort)	2
aanwinst	N(soort)	2
aanzetten	WW()	2
aanzien	N(soort)	2
aanzien	WW()	2
aanzienlijk	ADJ()	2
aanzoek	N(soort)	2
aanzweven	WW()	2
aap	N(soort)	1
aard	N(soort)	1
aardappel	N(soort)	1
aardappelproductie	N(soort)	2
aardbei	N(soort)	1
aardbeving	N(soort)	3
aardbol	N(soort)	2
aarde	N(soort)	1
aardedonker	N(soort)	3
aardewerk	N(soort)	2
aardewerkindustrie	N(soort)	3
aardgas	N(soort)	2
aardig	ADJ()	1
aardolie	N(soort)	3
aardrijkskunde	N(soort)	2
aardverschuiving	N(soort)	3
aarzelen	WW()	2
abelman	N(soort)	3
abonnement	N(soort)	2
abortus	N(soort)	3
absoluut	ADJ()	2
abstract	ADJ()	2
absurd	ADJ()	2
academicus	N(soort)	2
academie	N(soort)	2
academiejaar	N(soort)	2
academisch	ADJ()	2
accent	N(soort)	1
accentueren	WW()	2
acceptabel	ADJ()	3
accepteren	WW()	2
accessoire	N(soort)	2
accijns	N(soort)	2
acclimatiseren	WW()	3
accolade	N(soort)	2
accordeon	N(soort)	2
account	N(soort)	2
accountant	N(soort)	2
acht	N(soort)	1
achten	WW()	2
achter	ADJ()	1
achteraan	BW()	1
achteraf	BW()	1
achterbak	N(soort)	2
achterbank	N(soort)	1
