Barn
Gud
Kära
Hej
Tack
Vad
Var
Är
Jag
Det
Nå
Jag har
En
Det
Katten
Pappa
Mamma
Kära
Liten
Stora
Blå
Röd
Grön
Gula
Vita
Nytt
Äldre
Snabb
Långsam
Liten
Stort
En
En gång
Igen
Jag
Jag har
En bil
En bilspår
En bus
En skål
En liten bok
En liten hund
En liten flicka
En liten pojke
En liten trädgård
En liten hus
En liten stad
En liten skog
En liten strand
En liten sjö
En liten vatten
En liten vind
En liten sol
En liten måne
En liten stjärna
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
En liten fisk
